Unnamed: 0	season	division	round	localTeam	visitorTeam	localGoals	visitorGoals	date	timestamp
26201	2005-06	1	1	Atletico de Bilbao	Real Sociedad	3	0	27/08/2005	1125093600
26202	2005-06	1	1	Alaves	Barcelona	0	0	27/08/2005	1125093600
26203	2005-06	1	1	Valencia	Betis	1	0	27/08/2005	1125093600
26204	2005-06	1	1	Atletico de Madrid	Zaragoza	0	0	28/08/2005	1125180000
26205	2005-06	1	1	Cadiz	Real Madrid	1	2	28/08/2005	1125180000
26206	2005-06	1	1	Celta de Vigo	Malaga	2	0	28/08/2005	1125180000
26207	2005-06	1	1	Espanol	Getafe	0	2	28/08/2005	1125180000
26208	2005-06	1	1	Mallorca	Deportivo	0	1	28/08/2005	1125180000
26209	2005-06	1	1	Osasuna	Villarreal	2	1	28/08/2005	1125180000
26210	2005-06	1	1	Sevilla	Santander	1	0	28/08/2005	1125180000
26211	2005-06	1	2	Betis	Osasuna	1	0	10/09/2005	1126303200
26212	2005-06	1	2	Deportivo	Atletico de Madrid	1	0	10/09/2005	1126303200
26213	2005-06	1	2	Real Madrid	Celta de Vigo	2	3	10/09/2005	1126303200
26214	2005-06	1	2	Barcelona	Mallorca	2	0	11/09/2005	1126389600
26215	2005-06	1	2	Getafe	Atletico de Bilbao	1	1	11/09/2005	1126389600
26216	2005-06	1	2	Malaga	Espanol	1	2	11/09/2005	1126389600
26217	2005-06	1	2	Santander	Cadiz	0	1	11/09/2005	1126389600
26218	2005-06	1	2	Real Sociedad	Alaves	2	1	11/09/2005	1126389600
26219	2005-06	1	2	Villarreal	Sevilla	1	1	11/09/2005	1126389600
26220	2005-06	1	2	Zaragoza	Valencia	2	2	11/09/2005	1126389600
26221	2005-06	1	3	Mallorca	Real Sociedad	5	2	17/09/2005	1126908000
26222	2005-06	1	3	Valencia	Deportivo	2	2	17/09/2005	1126908000
26223	2005-06	1	3	Atletico de Bilbao	Malaga	1	2	18/09/2005	1126994400
26224	2005-06	1	3	Atletico de Madrid	Barcelona	2	1	18/09/2005	1126994400
26225	2005-06	1	3	Betis	Zaragoza	0	0	18/09/2005	1126994400
26226	2005-06	1	3	Cadiz	Villarreal	1	1	18/09/2005	1126994400
26227	2005-06	1	3	Celta de Vigo	Santander	0	1	18/09/2005	1126994400
26228	2005-06	1	3	Alaves	Getafe	3	4	18/09/2005	1126994400
26229	2005-06	1	3	Espanol	Real Madrid	1	0	18/09/2005	1126994400
26230	2005-06	1	3	Osasuna	Sevilla	1	0	18/09/2005	1126994400
26231	2005-06	1	4	Barcelona	Valencia	2	2	21/09/2005	1127253600
26232	2005-06	1	4	Deportivo	Betis	1	1	21/09/2005	1127253600
26233	2005-06	1	4	Getafe	Mallorca	1	1	21/09/2005	1127253600
26234	2005-06	1	4	Malaga	Alaves	0	0	21/09/2005	1127253600
26235	2005-06	1	4	Santander	Espanol	1	0	21/09/2005	1127253600
26236	2005-06	1	4	Real Sociedad	Atletico de Madrid	3	2	21/09/2005	1127253600
26237	2005-06	1	4	Sevilla	Cadiz	0	0	21/09/2005	1127253600
26238	2005-06	1	4	Villarreal	Celta de Vigo	1	2	21/09/2005	1127253600
26239	2005-06	1	4	Zaragoza	Osasuna	3	1	21/09/2005	1127253600
26240	2005-06	1	4	Real Madrid	Atletico de Bilbao	3	1	22/09/2005	1127340000
